year,region,flow,Manufactured goods,Agri-food products,Minerals & fuels,Precious metals & stones
2012,Africa,Canada exports,3037384.128239,2098475.109937,287774.61503,59362.50092399999
2012,Africa,Canada imports,1406850.028888,714410.647865,14340951.865520999,1443831.118331
2012,Asia,Canada exports,39675615.28969,20819479.361732002,16229618.374385,1489205.71936
2012,Asia,Canada imports,120235873.077308,4706518.848877,16058117.020672,2222473.118147
2012,"Central, South America & Caribbean",Canada exports,16920418.912098,4930443.199895999,2561071.613985,63977.234991
2012,"Central, South America & Caribbean",Canada imports,32871677.238787998,5986665.016098999,5149955.148947,9455283.542602
2012,Europe,Canada exports,30528519.733571,5867939.843280001,9181892.369717,9652290.542045001
2012,Europe,Canada imports,58925586.464729995,5677067.761766,10773923.072771,2771343.354803
2012,North America,Canada exports,246255742.10334298,31700843.532136,145162180.039238,7314495.535533
2012,North America,Canada imports,256708139.094339,28811705.357662,27138851.066039998,5197555.292707
2012,Oceania,Canada exports,3302541.380651,416087.79347100004,228420.311212,315891.028346
2012,Oceania,Canada imports,1618614.9013790002,1016656.602123,824101.9131930001,297956.631365
2013,Africa,Canada exports,2887091.363498,2353765.197978,43584.61513499999,442664.512856
2013,Africa,Canada imports,1171458.213284,724534.684646,9334514.422427,1281622.334333
2013,Asia,Canada exports,41188624.046136,21352825.571588,15252345.94383,6041112.9847
2013,Asia,Canada imports,120539047.777135,4886201.562338,12808804.849863,2199217.427483
2013,"Central, South America & Caribbean",Canada exports,16847736.986301,5564388.869137,2345063.1730890004,70458.32930000001
2013,"Central, South America & Caribbean",Canada imports,33824139.306926,5943465.872101,5362453.348355,8912250.246274
2013,Europe,Canada exports,29811222.645147,5372877.074732,9074004.931553999,17766683.391064
2013,Europe,Canada imports,61391327.80206101,6093453.978444,10268216.54473,1947210.393532
2013,North America,Canada exports,248129098.793595,34433975.718573004,156432643.095306,8425925.491441999
2013,North America,Canada imports,259077575.419238,30184039.645614002,35815371.554103,4520558.026426
2013,Oceania,Canada exports,2899959.685987,389088.43563100003,199232.00827999998,22388.842151
2013,Oceania,Canada imports,1511782.186659,1005394.9649609999,469458.796193,360657.802424
