year,region,flow,Manufactured goods,Agri-food products,Minerals & fuels,Precious metals & stones
2014,Africa,Canada exports,3163942.915182,3117686.61808,361225.61165199993,1246881.901464
2014,Africa,Canada imports,1674116.58981,858965.186251,5071859.50153,1251633.823905
2014,Asia,Canada exports,42707442.305013,21623207.874938,14205524.519886,5409571.275806
2014,Asia,Canada imports,127008375.746401,5569545.371268,7242705.928753,2171984.8787310002
2014,"Central, South America & Caribbean",Canada exports,14904684.130493,6242446.561947,2104256.6452820003,66851.47781
2014,"Central, South America & Caribbean",Canada imports,37144667.118116,6707934.461319,4592255.540088,8391783.94339
2014,Europe,Canada exports,31036282.458669,6800863.465124,9357484.551386,16954983.013069
2014,Europe,Canada imports,66189312.029335,6450751.66617,7615452.76048,2230813.914388
2014,North America,Canada exports,269755990.359693,38337879.404134996,177128821.98250002,8130077.151130999
2014,North America,Canada imports,275735230.659074,32582507.231728002,50334698.442352995,4292384.900468
2014,Oceania,Canada exports,2799335.774069,437814.055248,222882.85678300002,16632.155403
2014,Oceania,Canada imports,1177392.986811,1208900.935304,304642.624078,201480.04702099998
2015,Africa,Canada exports,3323551.683315,3101181.551621,149130.94037599998,920921.0016189999
2015,Africa,Canada imports,1431278.184133,1034913.58819,4401095.8734100005,1952924.9242900002
2015,Asia,Canada exports,45827655.402998,26346300.363466002,10780043.893477,8523973.09445
2015,Asia,Canada imports,136987447.49984,6272005.980692,4049213.92428,2322160.082934
2015,"Central, South America & Caribbean",Canada exports,20932761.155525,6216838.646436,1044349.9230960001,91870.99839300002
2015,"Central, South America & Caribbean",Canada imports,33638263.121092,7346224.3179359995,2769977.652881,7282408.135084
2015,Europe,Canada exports,31068068.280005,5953121.171476,6710827.939854,16123821.460508
2015,Europe,Canada imports,70133837.99506,7037739.279458,5800723.641869,2787566.0487349997
2015,North America,Canada exports,304074783.335677,43022395.98548,127026890.459059,9015877.162119
2015,North America,Canada imports,308039929.757565,37000557.308102995,38295269.947616,4884834.766467
2015,Oceania,Canada exports,3113107.754146,499173.629877,249283.434056,20351.440392
2015,Oceania,Canada imports,1272063.9348900001,1466369.066052,319303.437653,296857.367277
2016,Africa,Canada exports,2374507.140063,2694343.199827,235126.420114,603441.281678
2016,Africa,Canada imports,1270493.582783,1089383.997207,6790208.668237,2186279.137584
2016,Asia,Canada exports,44271180.240014,27087581.4679,11362547.854447,3545972.700218
2016,Asia,Canada imports,132049481.781665,6455581.19852,3717854.0349789998,2853563.1462379997
2016,"Central, South America & Caribbean",Canada exports,19284963.956508,5921347.111003,1232444.357389,92357.621831
2016,"Central, South America & Caribbean",Canada imports,34675059.459449,8018249.773423,2808147.81109,7077033.390253
2016,Europe,Canada exports,31733143.814732,6031906.742256,7320521.387104,22069472.5708
2016,Europe,Canada imports,70283654.338774,7499944.0646710005,6588681.143138,1389825.9113450001
2016,North America,Canada exports,306752392.58470297,44338052.048866,101785443.693794,9925584.180495
2016,North America,Canada imports,302407299.496019,37460796.791622,31493356.773884002,5057875.938875999
2016,Oceania,Canada exports,2969207.8898929995,466722.20959600003,170819.303743,91040.300198
2016,Oceania,Canada imports,1745985.592678,1326232.765453,348139.12436500005,381309.045961
2017,Africa,Canada exports,2348637.675234,2984276.725772,236738.988416,795581.914019
2017,Africa,Canada imports,1108785.365801,1114049.63812,3182532.433445,1481799.4762379997
2017,Asia,Canada exports,46252608.539208,27919995.853636,15970036.287631,6111589.001986
2017,Asia,Canada imports,130295551.71159,6656416.4261300005,6060382.059417,4247026.408043
2017,"Central, South America & Caribbean",Canada exports,17224233.383141,6085659.31029,2095475.038948,72864.67998999999
2017,"Central, South America & Caribbean",Canada imports,40912599.770008996,8147887.27656,2830196.458455,5624199.039952001
2017,Europe,Canada exports,31284073.784985,5693649.632406,10540479.785942,8952241.544036
2017,Europe,Canada imports,74858058.33377,7720171.021463,7622436.139975,966498.1197500001
2017,North America,Canada exports,291484118.096802,43832079.540677994,129439211.28022,7224840.31587
2017,North America,Canada imports,311158074.1076,35466811.472687,36149392.617706,3701607.172009
2017,Oceania,Canada exports,3145227.683463,461886.162559,171416.65941300002,50860.472737000004
2017,Oceania,Canada imports,1629642.112891,1349685.733787,262156.958917,303813.544816
2018,Africa,Canada exports,2714224.528289,2876648.312892,183356.497806,954981.440372
2018,Africa,Canada imports,1253837.2352,1225570.34803,2729840.207344,1449856.089994
2018,Asia,Canada exports,49843496.23362,27804345.047832,17605110.924645,9177726.484197
2018,Asia,Canada imports,160676518.097097,6866512.023605,7518129.869446,2480313.901493
2018,"Central, South America & Caribbean",Canada exports,18322471.400038,6043848.976689,2306451.775856,90028.62751399999
2018,"Central, South America & Caribbean",Canada imports,46353116.067129,7906170.490326,2699745.9974040003,5024401.208951999
2018,Europe,Canada exports,33443146.727693,5237533.569076,12280100.908852,29822520.586333
2018,Europe,Canada imports,82459265.58887799,8173564.2604209995,8118764.9479,1107529.842882
2018,North America,Canada exports,300689487.65357697,44496591.320727006,147104429.81684,6243316.908304
2018,North America,Canada imports,294319497.074968,35396933.172596,46179069.556608,4520566.573351
2018,Oceania,Canada exports,3181534.629517,427598.241261,232438.003511,27182.422931
2018,Oceania,Canada imports,2097868.347935,1398332.327281,46395.797081,93418.736222
2019,Africa,Canada exports,3639599.132208,2631239.995337,225236.775252,795285.4742770001
2019,Africa,Canada imports,1554220.087182,1288733.506586,1577185.012663,1514913.194799
2019,Asia,Canada exports,49774238.727395006,28442688.336215,21554903.324397,8151149.619672
2019,Asia,Canada imports,160781906.168614,7027222.980093,5914551.251044,1955188.529138
2019,"Central, South America & Caribbean",Canada exports,16956891.10388,5847702.6619110005,1838583.2760680001,80374.323663
2019,"Central, South America & Caribbean",Canada imports,45349356.46444,8622613.998588,1937071.691032,7087449.730551
2019,Europe,Canada exports,32911562.364776,6064467.51692,12189342.827431,39779487.486229
2019,Europe,Canada imports,87757031.802821,8539296.681883,7580739.902125,1351833.909907
2019,North America,Canada exports,300212428.954837,46162351.35274,150085576.550184,8380815.911236
2019,North America,Canada imports,289276208.188722,35778881.928601,44265855.582370006,5151752.745717
2019,Oceania,Canada exports,3370285.1191860004,876701.439477,159294.526606,41991.802894
2019,Oceania,Canada imports,2274507.53705,1395100.304799,225877.047094,112931.21638700001
2020,Africa,Canada exports,3097556.304524,2872825.544998,321470.495512,416430.381397
2020,Africa,Canada imports,1691084.129129,1377242.708532,1615981.234653,3962127.183861
2020,Asia,Canada exports,38945168.193421,30010033.991314,19174276.600881,1845185.67596
2020,Asia,Canada imports,156917813.304792,7119638.189862,2391527.5447980003,2199173.13325
2020,"Central, South America & Caribbean",Canada exports,13568697.085851,6328927.32949,1340282.448046,146328.768609
2020,"Central, South America & Caribbean",Canada imports,37163901.81967,8884572.537963,1458123.4432650001,8445603.28063
2020,Europe,Canada exports,29061171.959372,7863295.849517,10405600.225504,23122532.122421
2020,Europe,Canada imports,74893803.19507,9020410.753452,3367669.187868,4419247.689724
2020,North America,Canada exports,261641684.495211,47051863.0441,105331476.888489,11103765.657763999
2020,North America,Canada imports,245393006.47433698,35990688.751341,30561725.719125,8809498.013078
2020,Oceania,Canada exports,2943274.376565,786771.5169149999,155842.852372,31607.085402
2020,Oceania,Canada imports,2022742.760585,1411708.960311,253949.88022400002,393245.480504
2021,Africa,Canada exports,2744179.766065,3177672.776428,575513.9343709999,400137.184749
2021,Africa,Canada imports,2083636.088728,1422833.513629,4412705.321204,2597690.922437
2021,Asia,Canada exports,39569615.126022,28648278.902158,24909226.236624,7269123.29048
2021,Asia,Canada imports,168047696.819715,6638490.944235,3495411.3546470003,2949214.754117
2021,"Central, South America & Caribbean",Canada exports,14999367.721737001,7194533.386828,2706589.18381,62397.600122
2021,"Central, South America & Caribbean",Canada imports,40113696.031075,8579520.500469,1817416.112671,6983659.051833
2021,Europe,Canada exports,30223021.821453,6901229.316938,11256306.637833001,10728081.289231
2021,Europe,Canada imports,75228446.841364,9141800.497561,4950568.148919,3531705.654927
2021,North America,Canada exports,275854180.281462,51813180.664082,157288924.75273597,9361255.021819
2021,North America,Canada imports,252570496.347062,35783786.19464,36164972.784388,9498230.788101
2021,Oceania,Canada exports,2995068.460856,346363.991674,345643.255057,18864.966524
2021,Oceania,Canada imports,1708839.70157,1244633.856887,312909.528773,390882.645971
2022,Africa,Canada exports,2979106.501817,2710145.329103,624786.190252,492873.72861900006
2022,Africa,Canada imports,2658709.3013239997,1606204.0417240001,4831582.709488,3318541.461571
2022,Asia,Canada exports,42152837.816508,26384113.336818002,32665467.307501,25418108.822203998
2022,Asia,Canada imports,182374311.59724298,7778464.11489,5509770.343337,3167949.4567939998
2022,"Central, South America & Caribbean",Canada exports,17555444.531957,7299278.605386,2930814.275794,73301.175415
2022,"Central, South America & Caribbean",Canada imports,44346172.242864996,9326544.766296001,3001628.751979,6471780.253625
2022,Europe,Canada exports,32085383.962569,6334161.986491,12615532.877427,30237562.869475
2022,Europe,Canada imports,80048649.541773,9386386.813971,6794888.929631,3168421.930201
2022,North America,Canada exports,295483397.89156395,57267785.139706,226467149.825496,7948484.952017
2022,North America,Canada imports,279124649.02982,38471067.353517994,51551177.72771101,8897343.614355
2022,Oceania,Canada exports,3489281.7917679995,449634.750567,373698.689702,238702.278416
2022,Oceania,Canada imports,1614466.001396,1454431.955999,382308.03288599994,389030.32559300005
2023,Africa,Canada exports,2822478.11286,3497760.925162,225533.983717,432967.284857
2023,Africa,Canada imports,2433331.040039,1533622.309316,5783039.181158001,3310617.902643
2023,Asia,Canada exports,39390538.283293,27642555.951725002,32914138.629754998,13181310.956392
2023,Asia,Canada imports,167658083.928213,7314301.514938,3655883.11679,4095790.181863
2023,"Central, South America & Caribbean",Canada exports,18167629.600761,7887436.5452769995,2516089.805772,61760.363602
2023,"Central, South America & Caribbean",Canada imports,48255526.331337,9931109.733143,1847010.999258,8135150.149432
2023,Europe,Canada exports,32564957.886053,6238865.570703,13449850.802802,27074746.857073
2023,Europe,Canada imports,86016438.841057,9178578.444712,5506136.719119,2456042.040209
2023,North America,Canada exports,311832963.96854603,61643869.284308,184710538.388839,14565983.488564
2023,North America,Canada imports,288445268.268416,39143367.17966,45779526.916369,7922212.228363001
2023,Oceania,Canada exports,3313504.228571,495183.771845,239022.218934,436713.679375
2023,Oceania,Canada imports,1848085.755091,1381774.002471,600062.302888,589309.737526
2024,Africa,Canada exports,2612010.462793,2720212.606354,629182.850888,261815.391981
2024,Africa,Canada imports,2230187.250037,1865521.708989,3523272.778066,2348400.983662
2024,Asia,Canada exports,36725978.223577,24630279.816332,28588022.51829,12350673.028646
2024,Asia,Canada imports,163635951.035852,7691135.070266999,3272669.810122,3100408.400843
2024,"Central, South America & Caribbean",Canada exports,16420016.452401,6454009.5424,2548079.611522,55388.014514
2024,"Central, South America & Caribbean",Canada imports,46210641.773821,11020561.40012,2382244.389587,9573137.494302
2024,Europe,Canada exports,32987078.159097,5610600.800976,11764088.405541,13144347.054384
2024,Europe,Canada imports,84286761.39404601,9194551.931261001,4631997.501535,2012161.597203
2024,North America,Canada exports,296310809.160379,61659759.527807005,179673800.982497,10319692.673010001
2024,North America,Canada imports,270938597.876835,38943346.340132,41491743.454132006,8294813.529641
2024,Oceania,Canada exports,2949579.377015,533313.8372439999,96865.372082,569289.4635729999
2024,Oceania,Canada imports,2107129.715949,1528714.955726,272213.272937,84062.802377
