country,flow,2005,2024,unit
ASEAN,Exports to Africa,1.3609433025557904,1.401655341852011,% of trade
ASEAN,Exports to Africa,21.148753040922,39.928600938698004,"CAD billion, constant 2024"
ASEAN,Imports from Africa,0.8002612078525311,1.7615841047521557,% of trade
ASEAN,Imports from Africa,10.69859931811,45.088158822314,"CAD billion, constant 2024"
Canada,Exports to Africa,0.5635776154419473,0.8285106574345372,% of trade
Canada,Exports to Africa,3.735497840312,6.227939462775001,"CAD billion, constant 2024"
Canada,Imports from Africa,1.7521502256920791,1.401705222493868,% of trade
Canada,Imports from Africa,10.338419566155,9.955458031116999,"CAD billion, constant 2024"
China,Exports to Africa,2.066296509980693,4.683260141576614,% of trade
China,Exports to Africa,54.631339697038,230.85342012693602,"CAD billion, constant 2024"
China,Imports from Africa,3.5075399116295967,5.185499550548002,% of trade
China,Imports from Africa,54.33106870718,154.18469668811102,"CAD billion, constant 2024"
EU27,Exports to Africa,2.6026016439525286,2.9646766044445503,% of trade
EU27,Exports to Africa,161.784339162653,254.286714428921,"CAD billion, constant 2024"
EU27,Imports from Africa,3.347867085644544,3.341223534545045,% of trade
EU27,Imports from Africa,213.478394390015,292.407449212275,"CAD billion, constant 2024"
India,Exports to Africa,6.388165487819071,8.687788212021934,% of trade
India,Exports to Africa,15.605559376409,54.964631028829004,"CAD billion, constant 2024"
India,Imports from Africa,5.449119736378655,7.021871816310853,% of trade
India,Imports from Africa,12.807339594012,66.417859349789,"CAD billion, constant 2024"
UK,Exports to Africa,2.8186531822564556,2.971607186968858,% of trade
UK,Exports to Africa,15.832342979335001,16.511840447329,"CAD billion, constant 2024"
UK,Imports from Africa,3.3019367127215737,3.828896049470952,% of trade
UK,Imports from Africa,26.395881104209,37.956251648042,"CAD billion, constant 2024"
USA,Exports to Africa,1.782785051427373,2.030417257009779,% of trade
USA,Exports to Africa,34.136547527571,51.868313049197,"CAD billion, constant 2024"
USA,Imports from Africa,4.03776258095896,1.308775410606331,% of trade
USA,Imports from Africa,143.142128468705,56.622416003255005,"CAD billion, constant 2024"
