year,flow,North America,Asia,Europe,"Central, South America & Caribbean",Africa,Oceania
2015,Canada exports,483139946.942335,91477972.754391,59855838.851843,28285820.72345,7494785.176931,3881916.258471
2015,Canada imports,388220591.779751,149630827.487746,85759866.965122,51036873.226993,8820212.570023,3354593.805872
2016,Canada exports,462801472.507858,86267282.262579,67155044.514892,26531113.046731,5907418.041682,3697789.7034299998
2016,Canada imports,376419329.000401,145076480.161402,85762105.457928,52578490.434215,11336365.385811,3801666.528457
2017,Canada exports,471980249.23357,96254229.682461,56470444.747369,25478232.412369,6365235.303441,3829390.9781720005
2017,Canada imports,386475885.370002,147259376.60518003,91167163.614958,57514882.544975996,6887166.913604,3545298.350411
2018,Canada exports,498533825.699448,104430678.690294,80783301.791954,26762800.780097,6729210.779359,3868753.29722
2018,Canada imports,380416066.377523,177541473.89164102,99859124.640081,61983433.76381101,6659103.8805680005,3636015.208519
2019,Canada exports,504841172.768997,107922980.007679,90944860.195356,24723551.365522,7291361.377074,4448272.888163
2019,Canada imports,374472698.44540995,175678868.928889,105228902.296736,62996491.884611,5935051.80123,4008416.10533
2020,Canada exports,425128790.085564,89974664.461576,70452600.156814,21384235.631996,6708282.726431,3917495.831254
2020,Canada imports,320754918.957881,168628152.17270198,91701130.826114,55952201.081528,8646435.256175,4081647.081624
2021,Canada exports,494317540.72009903,100396243.555284,59108639.065455,24962887.892497,6897503.661613001,3705940.674111
2021,Canada imports,334017486.114191,181130813.872714,92852521.142771,57494291.696048,10516865.845998,3657265.733201
2022,Canada exports,587166817.8087829,126620527.283031,81272641.695962,27858838.588552002,6806911.749791,4551317.510453
2022,Canada imports,378044237.725404,198830495.51226398,99398347.21557601,63146126.014764994,12415037.514107,3840236.315874
2023,Canada exports,572753355.130257,113128543.821165,79328421.116631,28632916.315412,6978740.306596,4484423.898725
2023,Canada imports,381290374.592808,182724058.741804,103157196.04509701,68168797.21317,13060610.433156,4419231.797976
2024,Canada exports,547964062.343693,102294953.586845,63506114.419998,25477493.620837,6223221.312016,4149048.049914
2024,Canada imports,359668501.20074,177700164.31708398,100125472.424045,69186585.05782999,9967382.720754,3992120.746989
