year,partner,flow,Manufactured goods,Agri-food products,Minerals & fuels,Precious metals & stones
2015,Algeria,Canada exports,277793.831508,706396.045814,187.33414,2.313781
2015,Algeria,Canada imports,21652.994815,5422.515136,1131205.475941,0.0
2015,Angola,Canada exports,50698.85574,124596.311805,22.864711,0.449018
2015,Angola,Canada imports,1811.939931,0.0,938960.730472,1276.903694
2015,Benin,Canada exports,24972.81608,12846.603045,,0.0
2015,Benin,Canada imports,56.482386,18.121544,,0.129009
2015,Botswana,Canada exports,15793.381205,46.37614,1.397316,870482.859201
2015,Botswana,Canada imports,364.592193,1.747482,0.028482,662715.402983
2015,Br. Indian Ocean Terr.,Canada exports,24.404439,0.001675,,
2015,Br. Indian Ocean Terr.,Canada imports,28.856079,0.035184,,
2015,Burkina Faso,Canada exports,48173.51908,5744.839364,24.240246,1.455956
2015,Burkina Faso,Canada imports,18180.095426,305.414027,43787.59613,4271.121898
2015,Burundi,Canada exports,1124.621404,3472.138739,,
2015,Burundi,Canada imports,50.893123,628.406755,,
2015,Cabo Verde,Canada exports,1278.244045,3243.545248,,5.793667
2015,Cabo Verde,Canada imports,110.70293,6.532535,,0.0
2015,Cameroon,Canada exports,25374.728668,85627.226819,94.265202,0.0
2015,Cameroon,Canada imports,8013.51391,665.792492,4.672798,23.26514
2015,Central African Rep.,Canada exports,2172.737256,0.0,,
2015,Central African Rep.,Canada imports,391.494711,98.105307,,
2015,Chad,Canada exports,12730.783325,12.746737,3.763035,0.0
2015,Chad,Canada imports,76.281044,189.763526,1.177833,0.05864
2015,Comoros,Canada exports,721.095369,34.74357,,
2015,Comoros,Canada imports,74.980904,57.331833,,
2015,Congo,Canada exports,36423.395098,8018.362629,2.844895,0.0
2015,Congo,Canada imports,54255.739839,156.953412,90314.453945,34.532465
2015,Côte d'Ivoire,Canada exports,74581.3701,15207.341266,54.957737,4.954272
2015,Côte d'Ivoire,Canada imports,14138.235519,301423.254113,98001.85546,0.707035
2015,Dem. Rep. of the Congo,Canada exports,59747.768922,20812.244647,13094.288159,0.0955
2015,Dem. Rep. of the Congo,Canada imports,97715.152732,120.432202,260.765263,6.748667
2015,Djibouti,Canada exports,2159.642028,0.0,6.559342,
2015,Djibouti,Canada imports,9.402561,6.157237,0.0,
2015,Egypt,Canada exports,296096.44003,279257.39079,44746.66242,104.993035
2015,Egypt,Canada imports,104157.97814,25138.466694,5016.789249,894844.386482
2015,Equatorial Guinea,Canada exports,2417.626063,2742.383028,,
2015,Equatorial Guinea,Canada imports,23.965474,3.223544,,
2015,Eritrea,Canada exports,543.554167,0.0,0.0,
2015,Eritrea,Canada imports,15.933421,0.604833,25438.009984,
2015,Eswatini,Canada exports,1818.325028,2235.232791,,0.068693
2015,Eswatini,Canada imports,1946.295028,135.76079,,371.007448
2015,Ethiopia,Canada exports,67963.350779,657.212571,3.93393,0.0
2015,Ethiopia,Canada imports,4740.226276,28705.782074,0.180947,7.403763
2015,Fr. South Antarctic Terr.,Canada exports,0.0,0.0,,
2015,Fr. South Antarctic Terr.,Canada imports,1.400667,0.043561,,
2015,Gabon,Canada exports,13971.139002,13965.884826,11.274026,0.0
2015,Gabon,Canada imports,2453.230809,517.145904,20557.123937,0.015079
2015,Gambia,Canada exports,788.251974,261.227684,,1.811149
2015,Gambia,Canada imports,207.15793,0.531114,,0.040211
2015,Ghana,Canada exports,684786.253859,239094.239145,424.546088,3.181658
2015,Ghana,Canada imports,9940.697209,69393.407991,6.490649,482.96193
2015,Guinea,Canada exports,15669.578021,1479.569773,16.896798,0.0
2015,Guinea,Canada imports,1225.601764,142.613333,76316.506251,58.782763
2015,Guinea-Bissau,Canada exports,25.716307,,,4.826939
2015,Guinea-Bissau,Canada imports,4.150061,,,0.0
2015,Kenya,Canada exports,91356.697385,43278.242691,207.38579,7.500939
2015,Kenya,Canada imports,8375.738708,26528.573073,13895.576721,190.160605
2015,Lesotho,Canada exports,377.333904,22.509518,,0.0
2015,Lesotho,Canada imports,7016.587733,0.0,,14.549509
2015,Liberia,Canada exports,11984.856281,1369.913992,0.0,0.557921
2015,Liberia,Canada imports,53171.979031,16.117719,0.239588,37.266781
2015,Libya,Canada exports,36721.381905,1252.825966,4.011,0.0
